"Z","M","Y","x1","x2","x3","x4","x5","x6","x7","R_m","R_y"
0,0,8785.93182258911,"1","0","1","1","0","1","0",1,1
1,0,11951.936254248,"0","0","1","0","0","1","2",1,1
1,0,19007.2155890259,"0","0","1","0","0","1","0",1,1
0,1,14750.6199378662,"1","1","1","0","1","1","2",1,1
0,NA,18358.1743936157,"1","2","1","1","0","3","3",0,1
1,1,42228.7783277344,"1","1","1","1","0","1","3",1,1
1,0,6255.58351712036,"0","0","1","0","0","1","0",1,1
1,1,NA,"0","1","3","0","0","1","2",1,0
0,1,9626.78770323486,"0","1","1","0","2","1","0",1,1
0,1,17170.3734820312,"1","0","1","0","2","2","2",1,1
1,NA,NA,"1","1","2","0","0","1","0",0,0
0,1,31102.58178479,"0","2","1","0","0","3","4",1,1
1,NA,20054.0110898804,"1","0","0","0","0","1","1",0,1
0,NA,1830.40248883667,"0","1","1","0","1","1","3",0,1
0,1,28675.4704459717,"1","1","1","0","0","1","3",1,1
1,1,11722.5853003784,"1","0","1","0","1","1","2",1,1
0,1,20147.1016799927,"0","0","0","0","0","1","2",1,1
1,1,NA,"0","2","3","0","0","3","0",1,0
0,0,0,"0","0","1","0","1","1","0",1,1
1,NA,18450.456394043,"0","1","0","0","0","2","0",0,1
1,1,38246.1979948242,"0","2","1","0","0","1","2",1,1
1,1,18147.3417532837,"0","1","0","0","0","1","0",1,1
1,1,11567.0785208862,"0","2","0","0","0","3","2",1,1
1,1,NA,"1","1","2","0","0","1","0",1,0
0,1,30679.0194759521,"1","1","2","0","0","3","2",1,1
0,1,0,"1","0","1","0","0","1","5",1,1
0,NA,NA,"0","1","2","0","0","1","2",0,0
0,NA,NA,"1","1","1","0","1","1","0",0,0
1,NA,49149.6225073242,"0","2","0","0","2","1","5",0,1
1,1,19814.2549612427,"0","0","0","0","0","1","0",1,1
1,1,NA,"1","2","0","1","1","3","3",1,0
0,1,52014.8284804688,"0","2","0","0","1","1","4",1,1
0,1,4744.40307275391,"0","2","0","0","0","3","0",1,1
